resume_id,version,changed_signal,job_id,job_title,changed_score,original_score,score_difference,absolute_difference
R1,name_changed,name,J1,Software Engineer,0.5041130781173706,0.5290745496749878,-0.024961471557617188,0.024961471557617188
R1,name_changed,name,J2,Financial Analyst,0.19147422909736633,0.17031711339950562,0.021157115697860718,0.021157115697860718
R1,name_changed,name,J3,Marketing Coordinator,0.32998907566070557,0.3192038834095001,0.010785192251205444,0.010785192251205444
R1,name_changed,name,J4,Clinical Data Analyst,0.3664446473121643,0.32627159357070923,0.04017305374145508,0.04017305374145508
R1,name_changed,name,J5,Academic Advisor,0.3362630009651184,0.33728983998298645,-0.001026839017868042,0.001026839017868042
R1,pronoun_changed,pronoun,J1,Software Engineer,0.5409015417098999,0.5290745496749878,0.01182699203491211,0.01182699203491211
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.1772119551897049,0.17031711339950562,0.00689484179019928,0.00689484179019928
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31725382804870605,0.3192038834095001,-0.0019500553607940674,0.0019500553607940674
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.3383236229419708,0.32627159357070923,0.012052029371261597,0.012052029371261597
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.3425962030887604,0.33728983998298645,0.005306363105773926,0.005306363105773926
R1,university_changed,university,J1,Software Engineer,0.5281549692153931,0.5290745496749878,-0.0009195804595947266,0.0009195804595947266
R1,university_changed,university,J2,Financial Analyst,0.18947958946228027,0.17031711339950562,0.019162476062774658,0.019162476062774658
R1,university_changed,university,J3,Marketing Coordinator,0.3314158320426941,0.3192038834095001,0.01221194863319397,0.01221194863319397
R1,university_changed,university,J4,Clinical Data Analyst,0.3382836580276489,0.32627159357070923,0.012012064456939697,0.012012064456939697
R1,university_changed,university,J5,Academic Advisor,0.34786054491996765,0.33728983998298645,0.010570704936981201,0.010570704936981201
R2,name_changed,name,J1,Software Engineer,0.5244175791740417,0.5248363614082336,-0.00041878223419189453,0.00041878223419189453
R2,name_changed,name,J2,Financial Analyst,0.14564336836338043,0.16375744342803955,-0.01811407506465912,0.01811407506465912
R2,name_changed,name,J3,Marketing Coordinator,0.31898629665374756,0.34761494398117065,-0.028628647327423096,0.028628647327423096
R2,name_changed,name,J4,Clinical Data Analyst,0.3227931261062622,0.2939998209476471,0.028793305158615112,0.028793305158615112
R2,name_changed,name,J5,Academic Advisor,0.33433789014816284,0.34222182631492615,-0.007883936166763306,0.007883936166763306
R2,pronoun_changed,pronoun,J1,Software Engineer,0.5353682637214661,0.5248363614082336,0.010531902313232422,0.010531902313232422
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.16694758832454681,0.16375744342803955,0.003190144896507263,0.003190144896507263
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.3613050878047943,0.34761494398117065,0.013690143823623657,0.013690143823623657
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.30747514963150024,0.2939998209476471,0.01347532868385315,0.01347532868385315
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.3521386981010437,0.34222182631492615,0.009916871786117554,0.009916871786117554
R2,university_changed,university,J1,Software Engineer,0.5332265496253967,0.5248363614082336,0.008390188217163086,0.008390188217163086
R2,university_changed,university,J2,Financial Analyst,0.16093870997428894,0.16375744342803955,-0.0028187334537506104,0.0028187334537506104
R2,university_changed,university,J3,Marketing Coordinator,0.34079092741012573,0.34761494398117065,-0.006824016571044922,0.006824016571044922
R2,university_changed,university,J4,Clinical Data Analyst,0.2861081659793854,0.2939998209476471,-0.007891654968261719,0.007891654968261719
R2,university_changed,university,J5,Academic Advisor,0.3481507897377014,0.34222182631492615,0.0059289634227752686,0.0059289634227752686
R3,name_changed,name,J1,Software Engineer,0.3280053436756134,0.3111516237258911,0.01685371994972229,0.01685371994972229
R3,name_changed,name,J2,Financial Analyst,0.3744630217552185,0.3828791379928589,-0.00841611623764038,0.00841611623764038
R3,name_changed,name,J3,Marketing Coordinator,0.2970072031021118,0.3129928410053253,-0.0159856379032135,0.0159856379032135
R3,name_changed,name,J4,Clinical Data Analyst,0.3903154730796814,0.35702475905418396,0.033290714025497437,0.033290714025497437
R3,name_changed,name,J5,Academic Advisor,0.31328901648521423,0.3218082785606384,-0.008519262075424194,0.008519262075424194
R3,pronoun_changed,pronoun,J1,Software Engineer,0.31511494517326355,0.3111516237258911,0.0039633214473724365,0.0039633214473724365
R3,pronoun_changed,pronoun,J2,Financial Analyst,0.39134126901626587,0.3828791379928589,0.008462131023406982,0.008462131023406982
R3,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31682372093200684,0.3129928410053253,0.0038308799266815186,0.0038308799266815186
R3,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.36815088987350464,0.35702475905418396,0.011126130819320679,0.011126130819320679
R3,pronoun_changed,pronoun,J5,Academic Advisor,0.3305451273918152,0.3218082785606384,0.008736848831176758,0.008736848831176758
R3,university_changed,university,J1,Software Engineer,0.32315221428871155,0.3111516237258911,0.012000590562820435,0.012000590562820435
R3,university_changed,university,J2,Financial Analyst,0.40516558289527893,0.3828791379928589,0.022286444902420044,0.022286444902420044
R3,university_changed,university,J3,Marketing Coordinator,0.3173196315765381,0.3129928410053253,0.0043267905712127686,0.0043267905712127686
R3,university_changed,university,J4,Clinical Data Analyst,0.34879496693611145,0.35702475905418396,-0.00822979211807251,0.00822979211807251
R3,university_changed,university,J5,Academic Advisor,0.33284586668014526,0.3218082785606384,0.011037588119506836,0.011037588119506836
R4,name_changed,name,J1,Software Engineer,0.29232364892959595,0.28995850682258606,0.0023651421070098877,0.0023651421070098877
R4,name_changed,name,J2,Financial Analyst,0.4714813530445099,0.46112060546875,0.010360747575759888,0.010360747575759888
R4,name_changed,name,J3,Marketing Coordinator,0.31571903824806213,0.29436105489730835,0.021357983350753784,0.021357983350753784
R4,name_changed,name,J4,Clinical Data Analyst,0.48679888248443604,0.4717811942100525,0.015017688274383545,0.015017688274383545
R4,name_changed,name,J5,Academic Advisor,0.3235258162021637,0.2740046977996826,0.04952111840248108,0.04952111840248108
