resume_id,version,changed_signal,job_id,job_title,similarity_score
R1,original,none,J1,Software Engineer,0.5290745496749878
R1,original,none,J2,Financial Analyst,0.17031711339950562
R1,original,none,J3,Marketing Coordinator,0.3192038834095001
R1,original,none,J4,Clinical Data Analyst,0.32627159357070923
R1,original,none,J5,Academic Advisor,0.33728983998298645
R1,name_changed,name,J1,Software Engineer,0.5041130781173706
R1,name_changed,name,J2,Financial Analyst,0.19147422909736633
R1,name_changed,name,J3,Marketing Coordinator,0.32998907566070557
R1,name_changed,name,J4,Clinical Data Analyst,0.3664446473121643
R1,name_changed,name,J5,Academic Advisor,0.3362630009651184
R1,pronoun_changed,pronoun,J1,Software Engineer,0.5409015417098999
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.1772119551897049
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31725382804870605
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.3383236229419708
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.3425962030887604
R1,university_changed,university,J1,Software Engineer,0.5281549692153931
R1,university_changed,university,J2,Financial Analyst,0.18947958946228027
R1,university_changed,university,J3,Marketing Coordinator,0.3314158320426941
R1,university_changed,university,J4,Clinical Data Analyst,0.3382836580276489
R1,university_changed,university,J5,Academic Advisor,0.34786054491996765
R2,original,none,J1,Software Engineer,0.5248363614082336
R2,original,none,J2,Financial Analyst,0.16375744342803955
R2,original,none,J3,Marketing Coordinator,0.34761494398117065
R2,original,none,J4,Clinical Data Analyst,0.2939998209476471
R2,original,none,J5,Academic Advisor,0.34222182631492615
R2,name_changed,name,J1,Software Engineer,0.5244175791740417
R2,name_changed,name,J2,Financial Analyst,0.14564336836338043
R2,name_changed,name,J3,Marketing Coordinator,0.31898629665374756
R2,name_changed,name,J4,Clinical Data Analyst,0.3227931261062622
R2,name_changed,name,J5,Academic Advisor,0.33433789014816284
R2,pronoun_changed,pronoun,J1,Software Engineer,0.5353682637214661
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.16694758832454681
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.3613050878047943
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.30747514963150024
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.3521386981010437
R2,university_changed,university,J1,Software Engineer,0.5332265496253967
R2,university_changed,university,J2,Financial Analyst,0.16093870997428894
R2,university_changed,university,J3,Marketing Coordinator,0.34079092741012573
R2,university_changed,university,J4,Clinical Data Analyst,0.2861081659793854
R2,university_changed,university,J5,Academic Advisor,0.3481507897377014
R3,original,none,J1,Software Engineer,0.3111516237258911
R3,original,none,J2,Financial Analyst,0.3828791379928589
R3,original,none,J3,Marketing Coordinator,0.3129928410053253
R3,original,none,J4,Clinical Data Analyst,0.35702475905418396
R3,original,none,J5,Academic Advisor,0.3218082785606384
R3,name_changed,name,J1,Software Engineer,0.3280053436756134
R3,name_changed,name,J2,Financial Analyst,0.3744630217552185
R3,name_changed,name,J3,Marketing Coordinator,0.2970072031021118
R3,name_changed,name,J4,Clinical Data Analyst,0.3903154730796814
R3,name_changed,name,J5,Academic Advisor,0.31328901648521423
R3,pronoun_changed,pronoun,J1,Software Engineer,0.31511494517326355
R3,pronoun_changed,pronoun,J2,Financial Analyst,0.39134126901626587
R3,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31682372093200684
R3,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.36815088987350464
R3,pronoun_changed,pronoun,J5,Academic Advisor,0.3305451273918152
R3,university_changed,university,J1,Software Engineer,0.32315221428871155
R3,university_changed,university,J2,Financial Analyst,0.40516558289527893
R3,university_changed,university,J3,Marketing Coordinator,0.3173196315765381
R3,university_changed,university,J4,Clinical Data Analyst,0.34879496693611145
R3,university_changed,university,J5,Academic Advisor,0.33284586668014526
R4,original,none,J1,Software Engineer,0.28995850682258606
R4,original,none,J2,Financial Analyst,0.46112060546875
R4,original,none,J3,Marketing Coordinator,0.29436105489730835
R4,original,none,J4,Clinical Data Analyst,0.4717811942100525
R4,original,none,J5,Academic Advisor,0.2740046977996826
R4,name_changed,name,J1,Software Engineer,0.29232364892959595
R4,name_changed,name,J2,Financial Analyst,0.4714813530445099
R4,name_changed,name,J3,Marketing Coordinator,0.31571903824806213
R4,name_changed,name,J4,Clinical Data Analyst,0.48679888248443604
R4,name_changed,name,J5,Academic Advisor,0.3235258162021637
R4,pronoun_changed,pronoun,J1,Software Engineer,0.28670254349708557
R4,pronoun_changed,pronoun,J2,Financial Analyst,0.4621146619319916
R4,pronoun_changed,pronoun,J3,Marketing Coordinator,0.30070990324020386
R4,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.4863724708557129
R4,pronoun_changed,pronoun,J5,Academic Advisor,0.2666183114051819
R4,university_changed,university,J1,Software Engineer,0.29534658789634705
R4,university_changed,university,J2,Financial Analyst,0.47218966484069824
R4,university_changed,university,J3,Marketing Coordinator,0.30297762155532837
R4,university_changed,university,J4,Clinical Data Analyst,0.47641226649284363
R4,university_changed,university,J5,Academic Advisor,0.31375688314437866
R5,original,none,J1,Software Engineer,0.2437303066253662
R5,original,none,J2,Financial Analyst,0.1791931390762329
R5,original,none,J3,Marketing Coordinator,0.46365365386009216
R5,original,none,J4,Clinical Data Analyst,0.2267170548439026
R5,original,none,J5,Academic Advisor,0.30251795053482056
R5,name_changed,name,J1,Software Engineer,0.311040461063385
R5,name_changed,name,J2,Financial Analyst,0.1703968197107315
R5,name_changed,name,J3,Marketing Coordinator,0.47086599469184875
R5,name_changed,name,J4,Clinical Data Analyst,0.25429099798202515
R5,name_changed,name,J5,Academic Advisor,0.30936646461486816
R5,pronoun_changed,pronoun,J1,Software Engineer,0.24750030040740967
R5,pronoun_changed,pronoun,J2,Financial Analyst,0.1848391890525818
R5,pronoun_changed,pronoun,J3,Marketing Coordinator,0.46960437297821045
R5,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.22530080378055573
R5,pronoun_changed,pronoun,J5,Academic Advisor,0.3121415376663208
