resume_id,version,changed_signal,job_id,job_title,blind_changed_score,blind_original_score,blind_score_difference,blind_absolute_difference
R1,name_changed,name,J1,Software Engineer,0.5683252215385437,0.5683252215385437,0.0,0.0
R1,name_changed,name,J2,Financial Analyst,0.1878966987133026,0.1878966987133026,0.0,0.0
R1,name_changed,name,J3,Marketing Coordinator,0.3009214997291565,0.3009214997291565,0.0,0.0
R1,name_changed,name,J4,Clinical Data Analyst,0.37477850914001465,0.37477850914001465,0.0,0.0
R1,name_changed,name,J5,Academic Advisor,0.3265955448150635,0.3265955448150635,0.0,0.0
R1,pronoun_changed,pronoun,J1,Software Engineer,0.5683252215385437,0.5683252215385437,0.0,0.0
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.1878966987133026,0.1878966987133026,0.0,0.0
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.3009214997291565,0.3009214997291565,0.0,0.0
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.37477850914001465,0.37477850914001465,0.0,0.0
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.3265955448150635,0.3265955448150635,0.0,0.0
R1,university_changed,university,J1,Software Engineer,0.5683252215385437,0.5683252215385437,0.0,0.0
R1,university_changed,university,J2,Financial Analyst,0.1878966987133026,0.1878966987133026,0.0,0.0
R1,university_changed,university,J3,Marketing Coordinator,0.3009214997291565,0.3009214997291565,0.0,0.0
R1,university_changed,university,J4,Clinical Data Analyst,0.37477850914001465,0.37477850914001465,0.0,0.0
R1,university_changed,university,J5,Academic Advisor,0.3265955448150635,0.3265955448150635,0.0,0.0
R2,name_changed,name,J1,Software Engineer,0.5826138854026794,0.5826138854026794,0.0,0.0
R2,name_changed,name,J2,Financial Analyst,0.14732930064201355,0.14732930064201355,0.0,0.0
R2,name_changed,name,J3,Marketing Coordinator,0.2923845052719116,0.2923845052719116,0.0,0.0
R2,name_changed,name,J4,Clinical Data Analyst,0.30249297618865967,0.30249297618865967,0.0,0.0
R2,name_changed,name,J5,Academic Advisor,0.3110726773738861,0.3110726773738861,0.0,0.0
R2,pronoun_changed,pronoun,J1,Software Engineer,0.5826138854026794,0.5826138854026794,0.0,0.0
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.14732930064201355,0.14732930064201355,0.0,0.0
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2923845052719116,0.2923845052719116,0.0,0.0
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.30249297618865967,0.30249297618865967,0.0,0.0
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.3110726773738861,0.3110726773738861,0.0,0.0
R2,university_changed,university,J1,Software Engineer,0.5826138854026794,0.5826138854026794,0.0,0.0
R2,university_changed,university,J2,Financial Analyst,0.14732930064201355,0.14732930064201355,0.0,0.0
R2,university_changed,university,J3,Marketing Coordinator,0.2923845052719116,0.2923845052719116,0.0,0.0
R2,university_changed,university,J4,Clinical Data Analyst,0.30249297618865967,0.30249297618865967,0.0,0.0
R2,university_changed,university,J5,Academic Advisor,0.3110726773738861,0.3110726773738861,0.0,0.0
R3,name_changed,name,J1,Software Engineer,0.314841628074646,0.314841628074646,0.0,0.0
R3,name_changed,name,J2,Financial Analyst,0.420423686504364,0.420423686504364,0.0,0.0
R3,name_changed,name,J3,Marketing Coordinator,0.2756330072879791,0.2756330072879791,0.0,0.0
R3,name_changed,name,J4,Clinical Data Analyst,0.40930476784706116,0.40930476784706116,0.0,0.0
R3,name_changed,name,J5,Academic Advisor,0.29147517681121826,0.29147517681121826,0.0,0.0
R3,pronoun_changed,pronoun,J1,Software Engineer,0.314841628074646,0.314841628074646,0.0,0.0
R3,pronoun_changed,pronoun,J2,Financial Analyst,0.420423686504364,0.420423686504364,0.0,0.0
R3,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2756330072879791,0.2756330072879791,0.0,0.0
R3,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.40930476784706116,0.40930476784706116,0.0,0.0
R3,pronoun_changed,pronoun,J5,Academic Advisor,0.29147517681121826,0.29147517681121826,0.0,0.0
R3,university_changed,university,J1,Software Engineer,0.314841628074646,0.314841628074646,0.0,0.0
R3,university_changed,university,J2,Financial Analyst,0.420423686504364,0.420423686504364,0.0,0.0
R3,university_changed,university,J3,Marketing Coordinator,0.2756330072879791,0.2756330072879791,0.0,0.0
R3,university_changed,university,J4,Clinical Data Analyst,0.40930476784706116,0.40930476784706116,0.0,0.0
R3,university_changed,university,J5,Academic Advisor,0.29147517681121826,0.29147517681121826,0.0,0.0
R4,name_changed,name,J1,Software Engineer,0.2734836935997009,0.2734836935997009,0.0,0.0
R4,name_changed,name,J2,Financial Analyst,0.4492912292480469,0.4492912292480469,0.0,0.0
R4,name_changed,name,J3,Marketing Coordinator,0.2930997908115387,0.2930997908115387,0.0,0.0
R4,name_changed,name,J4,Clinical Data Analyst,0.47983014583587646,0.47983014583587646,0.0,0.0
R4,name_changed,name,J5,Academic Advisor,0.2776971757411957,0.2776971757411957,0.0,0.0
R4,pronoun_changed,pronoun,J1,Software Engineer,0.2734836935997009,0.2734836935997009,0.0,0.0
R4,pronoun_changed,pronoun,J2,Financial Analyst,0.4492912292480469,0.4492912292480469,0.0,0.0
R4,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2930997908115387,0.2930997908115387,0.0,0.0
R4,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.47983014583587646,0.47983014583587646,0.0,0.0
R4,pronoun_changed,pronoun,J5,Academic Advisor,0.2776971757411957,0.2776971757411957,0.0,0.0
R4,university_changed,university,J1,Software Engineer,0.2734836935997009,0.2734836935997009,0.0,0.0
R4,university_changed,university,J2,Financial Analyst,0.4492912292480469,0.4492912292480469,0.0,0.0
R4,university_changed,university,J3,Marketing Coordinator,0.2930997908115387,0.2930997908115387,0.0,0.0
R4,university_changed,university,J4,Clinical Data Analyst,0.47983014583587646,0.47983014583587646,0.0,0.0
R4,university_changed,university,J5,Academic Advisor,0.2776971757411957,0.2776971757411957,0.0,0.0
R5,name_changed,name,J1,Software Engineer,0.2945393919944763,0.2945393919944763,0.0,0.0
R5,name_changed,name,J2,Financial Analyst,0.19172720611095428,0.19172720611095428,0.0,0.0
R5,name_changed,name,J3,Marketing Coordinator,0.44925034046173096,0.44925034046173096,0.0,0.0
R5,name_changed,name,J4,Clinical Data Analyst,0.2537367343902588,0.2537367343902588,0.0,0.0
R5,name_changed,name,J5,Academic Advisor,0.2942923307418823,0.2942923307418823,0.0,0.0
R5,pronoun_changed,pronoun,J1,Software Engineer,0.2945393919944763,0.2945393919944763,0.0,0.0
R5,pronoun_changed,pronoun,J2,Financial Analyst,0.19172720611095428,0.19172720611095428,0.0,0.0
R5,pronoun_changed,pronoun,J3,Marketing Coordinator,0.44925034046173096,0.44925034046173096,0.0,0.0
R5,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.2537367343902588,0.2537367343902588,0.0,0.0
R5,pronoun_changed,pronoun,J5,Academic Advisor,0.2942923307418823,0.2942923307418823,0.0,0.0
R5,university_changed,university,J1,Software Engineer,0.2945393919944763,0.2945393919944763,0.0,0.0
R5,university_changed,university,J2,Financial Analyst,0.19172720611095428,0.19172720611095428,0.0,0.0
R5,university_changed,university,J3,Marketing Coordinator,0.44925034046173096,0.44925034046173096,0.0,0.0
R5,university_changed,university,J4,Clinical Data Analyst,0.2537367343902588,0.2537367343902588,0.0,0.0
R5,university_changed,university,J5,Academic Advisor,0.2942923307418823,0.2942923307418823,0.0,0.0
R6,name_changed,name,J1,Software Engineer,0.29459714889526367,0.29459714889526367,0.0,0.0
