resume_id,version,changed_signal,job_id,job_title,tfidf_changed_score,tfidf_original_score,tfidf_score_difference,tfidf_absolute_difference
R1,name_changed,name,J1,Software Engineer,0.056918759477479465,0.057550940605222284,-0.0006321811277428188,0.0006321811277428188
R1,name_changed,name,J2,Financial Analyst,0.03265896752976193,0.033021701769113204,-0.0003627342393512714,0.0003627342393512714
R1,name_changed,name,J3,Marketing Coordinator,0.012037172435338278,0.012170866024497013,-0.00013369358915873465,0.00013369358915873465
R1,name_changed,name,J4,Clinical Data Analyst,0.01648990524574939,0.016673054123032188,-0.00018314887728279952,0.00018314887728279952
R1,name_changed,name,J5,Academic Advisor,0.02704805666391666,0.027348472047562047,-0.0003004153836453881,0.0003004153836453881
R1,pronoun_changed,pronoun,J1,Software Engineer,0.057550940605222284,0.057550940605222284,0.0,0.0
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.033021701769113204,0.033021701769113204,0.0,0.0
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.012170866024497013,0.012170866024497013,0.0,0.0
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.016673054123032188,0.016673054123032188,0.0,0.0
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.027348472047562047,0.027348472047562047,0.0,0.0
R1,university_changed,university,J1,Software Engineer,0.05678278230456282,0.057550940605222284,-0.0007681583006594606,0.0007681583006594606
R1,university_changed,university,J2,Financial Analyst,0.03924885727190996,0.033021701769113204,0.006227155502796754,0.006227155502796754
R1,university_changed,university,J3,Marketing Coordinator,0.012008415999100153,0.012170866024497013,-0.0001624500253968597,0.0001624500253968597
R1,university_changed,university,J4,Clinical Data Analyst,0.016450511367218576,0.016673054123032188,-0.00022254275581361227,0.00022254275581361227
R1,university_changed,university,J5,Academic Advisor,0.03706949872705571,0.027348472047562047,0.00972102667949366,0.00972102667949366
R2,name_changed,name,J1,Software Engineer,0.06983510879416788,0.07099885864459769,-0.0011637498504298155,0.0011637498504298155
R2,name_changed,name,J2,Financial Analyst,0.014311755589731606,0.014550250291243825,-0.00023849470151221866,0.00023849470151221866
R2,name_changed,name,J3,Marketing Coordinator,0.007565913637030944,0.014794969169682433,-0.007229055532651489,0.007229055532651489
R2,name_changed,name,J4,Clinical Data Analyst,0.01141551057784783,0.011605741522668236,-0.0001902309448204055,0.0001902309448204055
R2,name_changed,name,J5,Academic Advisor,0.005587111353546177,0.0056802163850166384,-9.310503147046123e-05,9.310503147046123e-05
R2,pronoun_changed,pronoun,J1,Software Engineer,0.07099885864459769,0.07099885864459769,0.0,0.0
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.014550250291243825,0.014550250291243825,0.0,0.0
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.014794969169682433,0.014794969169682433,0.0,0.0
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.011605741522668236,0.011605741522668236,0.0,0.0
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.0056802163850166384,0.0056802163850166384,0.0,0.0
R2,university_changed,university,J1,Software Engineer,0.07276264884206333,0.07099885864459769,0.0017637901974656423,0.0017637901974656423
R2,university_changed,university,J2,Financial Analyst,0.014911715099612546,0.014550250291243825,0.0003614648083687215,0.0003614648083687215
R2,university_changed,university,J3,Marketing Coordinator,0.015162513410413376,0.014794969169682433,0.000367544240730943,0.000367544240730943
R2,university_changed,university,J4,Clinical Data Analyst,0.011894057328341538,0.011605741522668236,0.00028831580567330144,0.00028831580567330144
R2,university_changed,university,J5,Academic Advisor,0.010681554790776015,0.0056802163850166384,0.005001338405759377,0.005001338405759377
R3,name_changed,name,J1,Software Engineer,0.019278400443013,0.01958626284389826,-0.0003078624008852615,0.0003078624008852615
R3,name_changed,name,J2,Financial Analyst,0.050403624068587956,0.05120853424591013,-0.0008049101773221767,0.0008049101773221767
R3,name_changed,name,J3,Marketing Coordinator,0.002990698102214753,0.0030384574327044635,-4.7759330489710334e-05,4.7759330489710334e-05
